id,date,text,danger
1,2022-04-30T11:02:18Z,,0
2,2022-04-30T11:02:19Z,,0
3,2022-04-30T15:11:13Z,РАКЕТНА НЕБЕЗПЕКА!!!,0
4,2022-04-30T15:28:33Z,Відбій,0
5,2022-05-03T11:45:59Z,‼️‼️‼️РАКЕТНА НЕБЕЗПЕКА‼️‼️‼️,0
6,2022-05-03T12:03:32Z,ВІДБІЙ✌️,0
7,2022-05-03T16:02:12Z,‼️‼️‼️РАКЕТНА НЕБЕЗПЕКА‼️‼️‼️,0
10,2022-05-04T16:52:45Z,"МОЖЛИВА РАКЕТНА НЕБЕЗПЕКА
Підскажу, якщо буде.",0
11,2022-05-04T16:58:11Z,РАКЕТНА НЕБЕЗПЕКА,0
13,2022-05-04T18:53:25Z,Відбій,0
14,2022-05-04T19:09:59Z,Ракетна небезпека,0
15,2022-05-04T19:10:00Z,Ракетна небезпека ‼️‼️‼️,0
17,2022-05-04T19:47:53Z,Відбій,0
18,2022-05-05T00:35:10Z,😤😤😤РАКЕТНА НЕБЕЗПЕКА😤😤😤,0
19,2022-05-05T00:35:32Z,😤😤😤РАКЕТНА НЕБЕЗПЕКА😤😤😤,0
20,2022-05-05T01:25:04Z,"Відбій, хутко в ліжечка…",0
21,2022-05-05T07:06:31Z,🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️РАКЕТНА НЕБЕЗПЕКА🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️,0
22,2022-05-05T08:00:08Z,Відбій😌,0
26,2022-05-05T17:14:21Z,🤬🤬🤬РАКЕТНА НЕБЕЗПЕКА🤬🤬🤬,0
27,2022-05-05T18:02:27Z,Відбій,0
29,2022-05-07T10:50:16Z,😵😵😵РАКЕТНА НЕБЕЗПЕКА😵‍💫😵‍💫😵‍💫,0
30,2022-05-07T12:38:25Z,🤨ВІДБІЙ🤔,0
33,2022-05-07T23:04:22Z,🧐🧐🧐РАКЕТНА НЕБЕЗПЕКА🤨🤨🤨,0
34,2022-05-07T23:39:02Z,ВІДБІЙ. Чухайте в ліжечка🛏💤,0
45,2022-05-16T21:22:17Z,🤮🤮🤮РАКЕТНА НЕБЕЗПЕКА🤮🤮🤮,0
46,2022-05-16T21:40:09Z,ВСІ В УКРИТТЯ‼️‼️‼️,1
47,2022-05-16T22:12:00Z,Відбій!!!!,0
49,2022-05-17T00:28:36Z,🤮🤮🤮РАКЕТНА НЕБЕЗПЕКА🤮🤮🤮,0
52,2022-05-18T16:21:39Z,Ракетна небезпека!,0
53,2022-05-18T16:58:35Z,Не ігноруємо повітряну тривогу.,0
54,2022-05-18T18:09:28Z,"🙃Відбій😯
Вітаю😇, нас більше 20 тисяч💪
Після перемоги - збираємось всі на п‘янку😜🍷🍻",0
56,2022-05-19T20:02:59Z,"‼️РАКЕТНА НЕБЕЗПЕКА‼️
Не нехтуємо! Дуємо в підвали, сховища і каЛідори👐
Якщо щось бачите чи чуєте - повідомляєте в БОТ «ШОСЬ ЛЕТИТЬ» ⬇️⬇️⬇️
@rusrocketfly_bot",0
57,2022-05-19T20:20:22Z,Відбій. Всім тихої ночі),0
58,2022-05-20T05:31:00Z,"‼️‼️‼️РАКЕТНА НЕБЕЗПЕКА‼️‼️‼️
КаЛідор - ван лав🤬",0
